tname	rgenename	tgenename
Male reproductive glands	sNPF-R	Abd-B,Atf3,Atf6,Cf2,CHES-1-like,ci,Clk,cnc,crp,da,exd,GATAd,gsb,gsb-n,HGTX,ind,jim,jing,kay,Kdm2,lbl,Mef2,NfI,pan,pdm3,Poxm,prd,Sox102F,SoxN,srp,trx,unc-4,vri
Malpighian tubule	AstA-R1	Abl,Atf3,bs,BtbVII,cbt,Cf2,cg,CHES-1-like,cnc,Cnot4,crc,CrebB,cyc,da,E2f1,erm,fkh,foxo,GATAe,Hnf4,jim,Jra,kay,Mef2,Myc,Nf1,pan,Pdp1,pita,Rbf,Rel,sd,slou,SREBP,Tet,toy,Traf4,Trf2,Xbp1
Malpighian tubule	AstA-R2	Atf3,Atf6,bin,bsh,cad,CG8079,CrebB,crp,Eip74EF,fkh,foxo,GATAd,grh,Hnf4,jim,kay,Mef2,Mondo,NK7.1,pan,peb,sqz,Stat92E,Tet,Trf2,Xbp1
Malpighian tubule	AstC-R1	Abd-B,bin,Kah
Malpighian tubule	AstC-R2	grh,jim,kay,Mondo,Tet
Malpighian tubule	CapaR	BtbVII,Cf2,CrebA,CrebB,Doc3,E2f1,ERR,GATAd,Jra,Myc,Pdp1
Malpighian tubule	CrzR	aop,CrebA,EcR,kay,lola,net,pnr,pnt,retn,Sp1,Stat92E,vvl
Malpighian tubule	FMRFaR	Vsx2
Malpighian tubule	NPFR	Atf3,Cf2,ci,crc,CrebA,CrebB,Dp,E2f1,ERR,foxo,GATAd,GATAe,Hsf,kay,Mef2,Myc,Pdp1,pho,Rel,Tet,Xbp1
Malpighian tubule	Pdfr	Abd-B,bin,BtbVII,Cf2,CHES-1-like,Cnot4,CrebB,Dif,E2f1,ERR,fkh,foxo,jim,kay,Mef2,Myc,Nf1,NfI,pan,Pdp1,Sox102F,Topors,Trf2,Ubx,vtd
Malpighian tubule	SIFaR	egg,Eno,odd,org-1,ovo,sv
Malpighian tubule	TkR86C	Cf2,CG9609,ci,Cnot4,Dif,Eip74EF,ERR,foxo,GATAd,GATAe,Hnf4,kay,Mef2,Myc,Pdp1,Sp1
Malpighian tubule	sNPF-R	Atf3,B-H2,BtbVII,Cf2,CHES-1-like,ci,crc,crp,Dif,Dp,egg,ERR,foxo,GATAd,GATAe,Hnf4,jim,kay,kn,Max,Mef2,Myc,odd,Pdp1,rn,Rx,Smox,Tet,Trf2,Vsx2,Xbp1
Oenocyte	AstA-R1	Abl,acj6,BtbVII,Cf2,cg,CG1233,CHES-1-like,ci,Cnot4,crc,CrebB,crp,CycT,da,Dr,foxo,GATAd,grn,ham,her,Hnf4,jim,Jra,Max,Mef2,Myc,Nf1,onecut,pan,pho,Rel,Rfx,srp,ss,svp,tj,Trf2,unc-4,Xbp1
Oenocyte	AstA-R2	abd-A,bap,bin,ci,jim,kay,Mef2,mid,Nf1,NfI,pan,pnr,pnt,repo,sr
Oenocyte	AstC-R1	abd-A,croc,E2f1,jim,lola,Mef2,NfI,pnt,sob,tup
Oenocyte	AstC-R2	acj6,CG34367,Dfd,dimm,Lim3,onecut,zfh2
Oenocyte	CapaR	GATAe,hth
Oenocyte	CrzR	ap,Atf3,Atf6,Cf2,ci,CrebA,CrebB,foxo,Hnf4,Hsf,kay,mamo,Mef2,mirr,pnt,Rel,Sox102F,Stat92E,sug,svp,Trf2,Ubx,Xbp1
Oenocyte	FMRFaR	Atf3,cnc,CrebA,ERR,Hnf4,hth,jim,Kah,kay,klu,Mef2,NfI,slou
Oenocyte	NPFR	cad,CG15812,Dll,GATAe,hth,Ptx1
Oenocyte	PK1-R	abd-A,Dll,grh,lab,Mef2,repo,slp2
Oenocyte	Pdfr	Cf2,CG16779,CHES-1-like,Cnot4,CrebA,CrebB,Dif,foxo,jim,Mef2,nej,Nf1,peb,pnt,Sox102F,srp,Trf2,Xbp1
Oenocyte	SIFaR	bi,cg,Drgx,kay,lab,Lim3,Rbf2,repo,SREBP
Oenocyte	TkR86C	ftz,GATAe,hth,Lim3,onecut,pnt,Ptx1,Rfx,Spps,vis
Oenocyte	sNPF-R	Abd-B,Abl,E5,Ets21C,foxo,jim,lab,Lim3,Mef2,Myc,NfI,onecut,repo,Rx,sr,srp
Ovary	AstA-R1	Abl,Atf3,bs,BtbVII,Cf2,CG42741,CHES-1-like,cnc,Cnx99A,CrebA,CrebB,Dp,E2f1,Eip75B,foxo,ftz-f1,HGTX,jim,kay,klu,lola,Mef2,Mondo,Myc,OdsH,pan,sd,sima,Sox14,tj,Trf2,trx,vri,Xbp1
Ovary	AstA-R2	Gsc,hth,Mef2,NfI
Ovary	AstC-R1	Mef2,NfI
Ovary	AstC-R2	Dp,Gsc,HGTX,lms,Myc,ovo,Rbf,Rbf2,Smox,Trf2,unc-4
Ovary	CrzR	CrebA,Dbx,Myc,sima,svp
Ovary	FMRFaR	Mef2
Ovary	NPFR	NfI
Ovary	Pdfr	bowl,BtbVII,CG16779,ci,Clk,CrebA,CrebB,Gsc,Mef2,NfI,ovo,pan,tai,tj,Trf2,vri,zfh1
Ovary	sNPF-R	abd-A,Atf3,BtbVII,cnc,E2f1,Med,Myc,pan,Rel,Sox14,Trf2,trx,vri
Proboscis	AstA-R1	Abl,aop,bru3,bsh,BtbVII,cg,CG16779,CG17802,CG9650,CHES-1-like,ci,cnc,CrebA,FoxK,foxo,grn,Hnf4,Lim1,Mondo,NfI,Oli,onecut,pan,peb,Rbp6,Rfx,Rx,scro,SoxN,sr,ss,Trf2
Proboscis	AstA-R2	Abl,dimm,Mad,NfI,NK7.1,onecut,otp,pan,Ptx1,RunxB,salr,slp2,zfh2
Proboscis	AstC-R1	Abl,Awh,bru3,CG9650,cnc,Dfd,Ets65A,FoxK,foxo,Hnf4,lola,nej,NfI,oc,Oli,onecut,peb,Rbp6,Rfx,Sox102F,Sox21b,SoxN,sr,ss,vri,zfh2
Proboscis	AstC-R2	Atf6,bab1,bru3,CG4328,CHES-1-like,crc,CycT,Dfd,foxo,Hnf4,Lim1,maf-S,Mef2,Mondo,Oli,onecut,Rbp6,Sox21b,SoxN,sr,ss,Trf2,Vsx2
Proboscis	CrzR	al,Atf6,B-H1,B-H2,Dfd,grh,Hnf4,Hr78,pb,Scr,scrt,Sox102F,svp,Xbp1,zfh2
Proboscis	FMRFaR	bru3,BtbVII,Cf2,CG9650,CrebA,crp,Ets98B,Hnf4,Mef2,Mitf,NfI,pan,Pdp1,peb,Rbp6,sr
Proboscis	NPFR	Atf6,byn,CG17802,Dbx,E2f1,Ets96B,NfI,onecut,pho,Rfx,sr,ss,trx,vtd
Proboscis	PK1-R	foxo,grh,Rel,ss,Xbp1
Proboscis	Pdfr	bru3,bs,CG16779,CG17802,CG42741,cnc,crp,FoxK,knrl,Myc,NfI,onecut,pan,Rbp6,SoxN,srp,sv,svp,TfAP-2,Trf2
Proboscis	SIFaR	Abl,Awh,bru3,BtbVII,CG16779,E2f1,Ets65A,FoxK,foxo,Hnf4,knrl,Mef2,nej,NfI,Oli,onecut,Rbp6,rn,Rx,scro,Sox102F,SoxN,sr,vnd
Proboscis	TkR86C	Dfd,Dref,Ets98B,fkh,foxo,H15,Hnf4,Mef2,onecut,peb,Rbp6,slp1,sr,Trf2
Proboscis	sNPF-R	Awh,BtbVII,cg,CG16779,CG9650,CHES-1-like,cnc,crc,crp,CycT,Dif,E2f1,eyg,grh,HGTX,Mef2,Mitf,Mondo,nej,NfI,onecut,otp,pan,Pdp1,Rbp6,Rfx,scro,sob,Sox21b,Trf2,trx,Usf,vri
Testis	AstA-R1	cnc,klu,pan,Trf2,yps
Testis	AstA-R2	Lmx1a,Mef2,NfI
Testis	AstC-R1	Lmx1a,NfI,slp2
Testis	AstC-R2	slp2,SREBP
Testis	CrzR	klu
Testis	FMRFaR	Atf3,kay,Mef2
Testis	NPFR	kay,Mef2,srp
Testis	Pdfr	Atf3,Dif,E2f1,Sox100B,Trf2
Testis	SIFaR	bs,Dp,Hsf,Trf2
Testis	TkR86C	BEAF-32
Testis	sNPF-R	Abd-B,Atf3,Dif,Dr,Lmx1a,Poxm
Trachea	AstA-R1	Abl,Atf3,Atf6,bsh,btd,Cf2,CG11085,CG16779,crc,Dif,dmrt93B,E2f2,Ets96B,GATAe,grh,hb,HLH4C,jim,Lim3,Mef2,onecut,RunxB,Rx,scro,usp,vri
Trachea	AstA-R2	Lmx1a,NfI,org-1,SoxN
Trachea	AstC-R1	acj6,hbn,oc,onecut,org-1,pdm2,repo,zfh1
Trachea	AstC-R2	Abd-B,org-1,SoxN
Trachea	CrzR	Dr,ERR,SREBP,svp,Xbp1
Trachea	FMRFaR	CG11294,Ets96B,sr
Trachea	NPFR	Ets96B,GATAe,org-1
Trachea	PK1-R	Dif,grh,Mef2
Trachea	Pdfr	Atf3,Cf2,Dif,foxo,Mef2,Mondo,NfI,onecut,Rfx,srp,svp
Trachea	SIFaR	Bro,Ets65A,ftz-f1,onecut,Ptx1
Trachea	TkR86C	acj6,CG11085,onecut,slou,slp1
Trachea	sNPF-R	Atf3,BtbVII,byn,caz,Cf2,CG16779,CHES-1-like,crp,Dif,E2f1,FoxK,foxo,GATAe,grh,Hnf4,inv,jim,lbe,Mef2,Mitf,NFAT,Rfx,Rx,svp,Vsx1
Wing	AstA-R1	Abl,BEAF-32,da,Dp,fkh,GATAd,grn,jim,kay,Mef2,Mitf,NFAT,onecut,pan,peb,pho,Sidpn,slbo,sr,ss,svp
Wing	AstC-R1	BEAF-32,CrebB,FoxK,HHEX,jim,Lim3,Mef2,onecut,peb,svp,tup
Wing	AstC-R2	BEAF-32,CHES-1-like,crc,crp,da,Dbx,Dr,Jra,Mef2,onecut,REPTOR-BP,sr,tgo,Trf2,Usf,Xbp1
Wing	CrzR	Atf6,Clk,cnc,crc,CrebA,crp,Doc2,E2f1,grh,grn,Hnf4,Hsf,kay,Mitf,NFAT,Pdp1,ss,vri,Xbp1,zfh2
Wing	FMRFaR	Atf3,bs,CHES-1-like,crp,jim,Mef2,onecut,pan,Rx,snRNP-U1-70K,sr,ss,svp,tup,vnd,Xbp1
Wing	NPFR	ase,Atf3,BEAF-32,CG9609,crc,CrebB,crp,GATAe,Mef2,onecut,slbo,ss,Xbp1
