tname	rgenename	tgenename
Antenna	SPR	Abl,BtbVII,cad,Cf2,CG44247,E2f1,ERR,exd,Fer1,grn,jim,Mef2,Myc,nej,onecut,ovo,pho,pnt,Rbp6,repo,rn,Rx,sr,sv,Trf2
Antenna	TkR86C	Cf2,ci,CTCF,Dll,Kdm4B,klu,Mef2,onecut,peb,Rbp6,Rfx,sr,vvl
Antenna	TkR99D	CHES-1-like,jim,Lim3,Mnt,NFAT,onecut,pan,pho,Rfx,Trf2
Antenna	Tor	Cf2,CrebB,crp,H15,jim,Mef2,sv,Trf2,trx,Xbp1
Antenna	TrissinR	da,Fer1,FoxK,foxo,Nf-YA,NfI,onecut,peb,Rfx,SoxN,sr,ss,Stat92E,Xbp1
Antenna	hec	BtbVII,cad,CHES-1-like,Ets98B,Hsf,sv,Trf2,Xbp1
Antenna	rk	Awh,CHES-1-like,cnc,hth,jim,mid,Rbp6,Rx,sr
Antenna	sNPF-R	Atf3,Atf6,BtbVII,Cf2,CHES-1-like,crc,crp,E2f1,E5,exd,Fer1,FoxK,Hsf,inv,jim,Kdm4B,Max,Mef2,Myc,nej,onecut,ovo,pan,peb,pho,pnt,Rbp6,Rfx,sr,Stat92E,sv,Trf2,trx,Usf,vtd,Xbp1
Body wall	AkhR	Atf6,Cf2,Dp,E2f1,foxo,Mef2,Mondo,pan,sd,SREBP,srp,svp,trx,Usf,Xbp1
Body wall	AstA-R1	Abl,acj6,Lim1,lz,nej,oc,onecut,pdm3,Rfx,sqz,sr,ss
Body wall	AstA-R2	CHES-1-like,croc,Dbx,NfI,onecut,pan
Body wall	AstC-R1	acj6,croc,Drgx,HGTX,onecut,otp,pb,tup
Body wall	AstC-R2	Adf1,bbx,croc,onecut,Ptx1
Body wall	CCAP-R	Atf3,Atf6,bs,BtbVII,Cf2,cg,CG17802,CHES-1-like,Cnot4,CrebB,da,E2f1,FoxK,foxo,Hr78,Hsf,inv,kay,Kdm4B,Mad,Mef2,mirr,Mondo,nej,Pc,Poxn,sima,Sox14,SREBP,svp,Trf2,trx,tup,Xbp1,ZIPIC
Body wall	CCHa1-R	CG16779,Ets21C,HGTX,onecut,pdm3,tin,tup
Body wall	CCHa2-R	acj6,Antp,CG17802,HGTX,Lmx1a,otp,pdm3,Ptx1,Sox21a
Body wall	CCKLR-17D1	Abd-B,acj6,onecut,Rfx,ss
Body wall	CCKLR-17D3	CG16779,tup
Body wall	CNMaR	Atf3,CHES-1-like,crc,CrebB,ERR,foxo,kay,Mef2,mirr,NfI,Sox14,SREBP,Trf2,vri,Xbp1
Body wall	CrzR	Atf3,BtbVII,crc,ERR,foxo,Hsf,Mef2,mirr,Mondo,Sox102F,Trf2,Ubx,vvl,Xbp1
Body wall	Dh31-R	Antp,CG16779,EcR,lbl,mid,pan,pdm3,sqz,sr,tup,twi
Body wall	Dh44-R1	CG16779,CG4328,en,ey,pdm3,RunxA
Body wall	Dh44-R2	Cf2,CrebA,cyc,Dp,foxo,Hr96,hth,Mef2,Mondo,MTF-1,pan,Sox100B,SREBP,srp,Trf2,trx,Usf,Xbp1
Body wall	ETHR	Antp,bs,croc,nau,pdm3,sd
Body wall	FMRFaR	BtbVII,Cf2,CHES-1-like,crp,Dr,EcR,Hnf4,Hr78,jim,kay,Mef2,net,pan,pnt,sr,svp,vri
Body wall	Gyc76C	BtbVII,Cf2,CG9609,CHES-1-like,crc,da,FoxK,foxo,Hsf,Mad,Mef2,mirr,Myb,nej,pan,pnt,SREBP,Trf2,trx,vri,Xbp1
Body wall	InR	Abl,Atf3,Atf6,Cf2,CG16779,CHES-1-like,cnc,CrebB,crp,dysf,E2f1,foxo,grh,Hsf,kay,lola,Mef2,mirr,Mnt,Mondo,mor,nej,pnr,pnt,Rel,sima,srp,sug,Trf2,trx,vri,Xbp1
Body wall	Lgr1	pdm3
Body wall	Lgr3	B-H2,HGTX,peng
Body wall	Lgr4	CG16779,CG34367,Drgx,HGTX,Max
Body wall	Lkr	Drgx,Lim1,onecut,pb,pdm3,repo,slp1
Body wall	MsR1	Abl,byn,CG3065,CG42741,onecut,ovo,pdm3,RunxB,SoxN
Body wall	MsR2	Atf3,Blimp-1,CHES-1-like,CrebA,crp,da,Dif,Dp,Ets98B,foxo,kay,klu,Mef2,Myc,NfI,pan,Rbp6,Sox14,svp,twi
Body wall	NPFR	CG8281,jim,sr
Body wall	PK1-R	CG34367,grh,pdm3
Body wall	PK2-R2	hb,Rfx,sd,sim,trx
Body wall	Pdfr	BtbVII,Cf2,CG16779,CHES-1-like,Dif,EcR,foxo,jim,Mef2,nej,ovo,pan,Pdp1,Rel,sd,Sox102F,srp,Trf2
Body wall	Proc-R	Atf6,bi,BtbVII,Cf2,CG12605,CG16779,CG3328,CHES-1-like,Clk,cnc,crc,CrebB,E2f1,EcR,FoxK,H15,Hr4,hth,kay,klu,lola,Mef2,NfI,so,Sox102F,sr,trx,vri,Xbp1
Body wall	RYa-R	BtbVII,byn,Cf2,E2f1,exd,foxo,GATAd,Mef2,onecut,pb,srp
Body wall	SIFaR	bab1,CG16779,CG34367,Drgx,FoxP,HGTX,onecut,repo,vnd,Vsx1
Body wall	SPR	abd-A,Abd-B,Abl,cg,CG8319,dar1,Drgx,E5,ems,exd,jim,lbe,Lim1,Nf-YB,nonA-l,ovo,Pc,pdm3,phol,REPTOR-BP,sd,sim,sob,SoxN,Tbp
Body wall	TkR86C	H15,HGTX,onecut,pdm3,TfAP-2
Body wall	TkR99D	Lim1,onecut
Body wall	Tor	Atf3,crc,CrebB,E2f2,kay,Mef2,mirr,Poxn,Rel,srp,Trf2,trx,vtd,Xbp1
Body wall	TrissinR	Atf3,Blimp-1,Cf2,CHES-1-like,CrebA,foxo,kay,Mef2,Myc,onecut,sr,trx,Vsx1,Vsx2
Body wall	hec	acj6,gt,Lim1,OdsH,sim
Body wall	rk	abd-A,Abd-B,Abl,bon,CG8281,CG9609,crc,E2f1,hng1,Hr78,hth,jim,lbl,Lim1,lz,usp
Body wall	sNPF-R	acj6,C15,CG16779,Drgx,Ets65A,FoxP,NfI,onecut,pan,repo,Rx,sr,tin,toy,tup,vnd,Vsx1
Fat body	AkhR	Atf6,Cf2,CHES-1-like,cwo,Dif,foxo,ftz-f1,Hnf4,kay,Mondo,Myc,pan,sr,srp,svp,Tet,trx
Fat body	AstA-R1	al,Atf3,bs,BtbVII,Cf2,cg,CHES-1-like,Cnot4,crc,CrebA,dmrt11E,EcR,foxo,ftz-f1,GATAd,kay,ken,maf-S,Max,Mef2,Myc,Nf-YA,NK7.1,OdsH,Pph13,REPTOR-BP,slou,Sox14,srp,Tet,trx,vri,Xbp1,Zif
Fat body	AstA-R2	Abd-B,bab1,Cf2,Dif,FoxP,Jra,NfI,pan,Scr,sr
Fat body	AstC-R1	Drgx,E2f2,Rfx,slp1
Fat body	AstC-R2	bab1,bin,BtbVII,CG17829,croc,E2f2,hng1,Jra,Kah,ken,Max,pita,Trf2,Zif
Fat body	CCAP-R	achi,al,cg,da,E2f2,ey,GATAe,grn,Gsc,Jra,ken,Oli,Rfx,Trf2,tup,Vsx2,Zif
Fat body	CCHa1-R	ato,CG16779,croc,disco-r,FoxP,kay,NfI,pdm2,Poxm,Vsx1
Fat body	CCHa2-R	BtbVII,Cf2,CG16779,crc,gt,hng1,Jra,kay,ken,sc,slou
Fat body	CCKLR-17D1	achi,exex,Max,Scr
Fat body	CCKLR-17D3	bap,eve,kay,nub
Fat body	CNMaR	Atf3,Atf6,bin,BtbVII,CG17802,CHES-1-like,crc,CrebA,CrebB,da,Dp,E2f2,foxo,Hnf4,Hsf,Jra,kay,Mef2,Myc,Nf-YA,pita,Rbf,REPTOR-BP,Rfx,SREBP,Trf2,vri,Xbp1,Zif
Fat body	CapaR	CG3065,da,E2f2,Hsf,ken,Spps,tgo
